GEN,HQMC,HQDC,LQMC,LQMC,FI,FD,
1,18,11,5,5,37,23,
2,29,11,2,1,35,20,
3,38,7,0,0,36,16,
4,42,5,0,0,36,15,
5,46,3,0,0,39,11,
6,48,1,0,0,37,13,
7,49,0,0,0,40,10,
8,50,0,0,0,41,8,
9,50,0,0,0,43,6,
10,50,0,0,0,45,5,
