GEN,HQMC,HQDC,LQMC,LQMC,FI,FD,
1,22,19,5,7,45,37,
2,40,30,2,5,75,32,
3,45,34,1,4,85,30,
4,50,28,0,4,90,17,
5,57,31,0,6,110,15,
6,50,36,0,2,102,12,
7,55,33,0,0,100,10,
8,57,39,0,0,112,10,
9,55,36,0,0,107,7,
10,50,39,0,0,107,7,
