GEN,HQMC,HQDC,LQMC,LQMC,FI,FD,
1,212,133,70,47,406,278,
2,433,162,55,25,688,184,
3,646,140,35,11,853,122,
4,805,96,18,4,924,87,
5,915,57,9,1,968,64,
6,985,32,4,0,997,49,
7,1012,16,1,0,1003,39,
8,1037,8,0,0,1021,31,
9,1036,4,0,0,1019,23,
10,1039,2,0,0,1024,18,
