GEN,HQMC,HQDC,LQMC,LQMC,FI,FD,
1,14,15,7,2,36,25,
2,23,13,4,1,38,19,
3,35,9,1,0,38,16,
4,43,4,0,0,38,13,
5,45,3,0,0,39,11,
6,48,1,0,0,37,12,
7,49,0,0,0,37,13,
8,50,0,0,0,36,13,
9,50,0,0,0,38,11,
10,50,0,0,0,41,9,
