GEN,HQMC,HQDC,LQMC,LQMC,FI,FD,
1,25,10,6,6,47,22,
2,52,12,5,3,70,20,
3,72,9,2,0,80,12,
4,87,7,1,0,92,10,
5,97,3,0,0,90,12,
6,97,0,0,0,90,7,
7,97,0,0,0,92,5,
8,102,0,0,0,100,2,
9,100,0,0,0,97,2,
10,97,0,0,0,95,2,
